	Subphylum	Relative_Abundance	Sample	Total_Reads	Reads_Subphylum
717	Agaricomycotina	0.0	717		
718	Agaricomycotina	0.0	718		
719	Agaricomycotina	0.0	719		
720	Agaricomycotina	0.0	720		
721	Agaricomycotina	0.0	721		
722	Agaricomycotina	0.0	722		
723	Agaricomycotina	0.0	723		
724	Agaricomycotina	0.0	724		
725	Agaricomycotina	0.0	725		
726	Agaricomycotina	0.0	726		
727	Agaricomycotina	0.0	727		
728	Agaricomycotina	0.0	728		
729	Agaricomycotina	0.0	729		
730	Agaricomycotina	0.0	730		
731	Agaricomycotina	0.0	731		
732	Agaricomycotina	0.0	732		
733	Agaricomycotina	0.0	733		
734	Agaricomycotina	0.0	734		
735	Agaricomycotina	0.0	735		
736	Agaricomycotina	0.0	736		
737	Agaricomycotina	0.0	737		
738	Agaricomycotina	0.0	738		
739	Agaricomycotina	0.0	739		
740	Agaricomycotina	0.0	740		
741	Agaricomycotina	0.0	741		
742	Agaricomycotina	0.0	742		
