sample_name	subphylum	relative_abundance	subphylum_label
13114.myrold.5.s011	Agaricomycotina	0.00019945471181313573	Agaricomycotina
13114.myrold.5.s011	Pezizomycotina	0.002057532816598663	Pezizomycotina
13114.myrold.59.s002	Agaricomycotina	0.00011966793007400942	Agaricomycotina
13114.myrold.59.s002	Pezizomycotina	0.002181117367009304	Pezizomycotina
13114.myrold.59.s003	Agaricomycotina	0.0017174041738982854	Agaricomycotina
13114.myrold.59.s003	Pezizomycotina	0.009900329943648938	Pezizomycotina
13114.myrold.59.s003	Saccharomycotina	0.0007879854444945073	Saccharomycotina
13114.myrold.59.s004	Agaricomycotina	5.128447085708659e-05	Agaricomycotina
13114.myrold.59.s004	Pezizomycotina	0.012968937659683249	Pezizomycotina
13114.myrold.59.s004	Wallemiomycotina	0.00017497054763006013	Wallemiomycotina
13114.myrold.59.s009	Pezizomycotina	0.0141017713994381	Pezizomycotina
13114.myrold.59.s010	Agaricomycotina	0.000464356718562007	Agaricomycotina
13114.myrold.59.s010	Pezizomycotina	0.0317175828200397	Pezizomycotina
13114.myrold.59.s010	Saccharomycotina	0.0016959114938786344	Saccharomycotina
13114.myrold.59.s011	Agaricomycotina	0.004119448529663452	Agaricomycotina
13114.myrold.59.s011	Pezizomycotina	0.0026312084539179856	Pezizomycotina
13114.myrold.59.s013	Ustilaginomycotina	0.002810804733395171	Ustilaginomycotina
13114.palenik.42.s001	Saccharomycotina	0.0031336855620056744	Saccharomycotina
13114.palenik.42.s002	Wallemiomycotina	0.014108243622408225	Wallemiomycotina
13114.palenik.42.s003	Pezizomycotina	0.0022753696983367723	Pezizomycotina
13114.palenik.42.s003	Saccharomycotina	0.007847174768295839	Saccharomycotina
13114.palenik.42.s003	Wallemiomycotina	0.008209989982153637	Wallemiomycotina
13114.palenik.42.s012	Saccharomycotina	0.014347085309050584	Saccharomycotina
13114.palenik.42.s012	Ustilaginomycotina	0.05021156288359201	Ustilaginomycotina
13114.palenik.42.s013	Saccharomycotina	0.14957537147982725	Saccharomycotina
13114.palenik.42.s013	Ustilaginomycotina	0.021734696773588878	Ustilaginomycotina
13114.pinto.63.s006	Saccharomycotina	0.00010815472181884515	Saccharomycotina
13114.pinto.63.s010	Agaricomycotina	0.0009654704422209289	Agaricomycotina
13114.pinto.63.s010	Saccharomycotina	0.0010245808774589447	Saccharomycotina
13114.pinto.63.s010	Wallemiomycotina	0.0026599695857107224	Wallemiomycotina
13114.pinto.63.s012	Saccharomycotina	8.201179862740954e-05	Saccharomycotina
13114.pinto.63.s017	Pezizomycotina	5.345039682910866e-05	Pezizomycotina
13114.pinto.63.s017	Saccharomycotina	0.00711781117774297	Saccharomycotina
13114.pinto.63.s017	Wallemiomycotina	7.126719577214488e-05	Wallemiomycotina
13114.pinto.63.s018	Agaricomycotina	0.0005530079267637778	Agaricomycotina
13114.pinto.63.s018	Saccharomycotina	0.004229646564857331	Saccharomycotina
13114.pinto.63.s019	Pucciniomycotina	0.0001330951655843005	Pucciniomycotina
13114.pinto.63.s019	Saccharomycotina	0.01594722074910073	Saccharomycotina
13114.pinto.63.s019	Ustilaginomycotina	0.0063038710244927776	Ustilaginomycotina
13114.pinto.63.s019	Wallemiomycotina	0.002002477264018339	Wallemiomycotina
13114.pinto.63.s022	Saccharomycotina	0.01148360710402537	Saccharomycotina
13114.pinto.63.s024	Pezizomycotina	0.013614079117281888	Pezizomycotina
