run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	instrument_platform	sample_name	library_strategy	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
ERR5005203	SAMEA7724154	ERX4814486	PRJEB42019	749906	gut metagenome	ILLUMINA	13114.mousseau.88.s032	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/003/ERR5005203/ERR5005203_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/003/ERR5005203/ERR5005203_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5005203/13114.mousseau.88.s032.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5005203/13114.mousseau.88.s032.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/003/ERR5005203.bam
ERR5003180	SAMEA7723451	ERX4812463	PRJEB42019	410658	soil metagenome	ILLUMINA	13114.metcalf.40.s013	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/000/ERR5003180/ERR5003180_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/000/ERR5003180/ERR5003180_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5003180/13114.metcalf.40.s013.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5003180/13114.metcalf.40.s013.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/000/ERR5003180.bam
ERR5005205	SAMEA7724156	ERX4814488	PRJEB42019	749906	gut metagenome	ILLUMINA	13114.mousseau.88.s034	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/005/ERR5005205/ERR5005205_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/005/ERR5005205/ERR5005205_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5005205/13114.mousseau.88.s034.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5005205/13114.mousseau.88.s034.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/005/ERR5005205.bam
ERR5003181	SAMEA7723927	ERX4812464	PRJEB42019	410658	soil metagenome	ILLUMINA	13114.metcalf.40.s014	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/001/ERR5003181/ERR5003181_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/001/ERR5003181/ERR5003181_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5003181/13114.metcalf.40.s014.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5003181/13114.metcalf.40.s014.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/001/ERR5003181.bam
ERR5005208	SAMEA7723633	ERX4814491	PRJEB42019	749906	gut metagenome	ILLUMINA	13114.mousseau.88.s037	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/008/ERR5005208/ERR5005208_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/008/ERR5005208/ERR5005208_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5005208/13114.mousseau.88.s037.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5005208/13114.mousseau.88.s037.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/008/ERR5005208.bam
ERR5003183	SAMEA7723453	ERX4812466	PRJEB42019	540485	mouse skin metagenome	ILLUMINA	13114.metcalf.81.s002	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/003/ERR5003183/ERR5003183_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/003/ERR5003183/ERR5003183_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5003183/13114.metcalf.81.s002.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5003183/13114.metcalf.81.s002.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/003/ERR5003183.bam
ERR5005219	SAMEA7723640	ERX4814502	PRJEB42019	749906	gut metagenome	ILLUMINA	13114.mousseau.88.s049	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/009/ERR5005219/ERR5005219_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/009/ERR5005219/ERR5005219_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5005219/13114.mousseau.88.s049.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5005219/13114.mousseau.88.s049.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/009/ERR5005219.bam
ERR5003187	SAMEA7723457	ERX4812470	PRJEB42019	749906	gut metagenome	ILLUMINA	13114.minich.76.s003	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/007/ERR5003187/ERR5003187_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/007/ERR5003187/ERR5003187_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5003187/13114.minich.76.s003.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5003187/13114.minich.76.s003.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/007/ERR5003187.bam
ERR5005223	SAMEA7723643	ERX4814506	PRJEB42019	749906	gut metagenome	ILLUMINA	13114.mousseau.88.s053	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/003/ERR5005223/ERR5005223_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/003/ERR5005223/ERR5005223_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5005223/13114.mousseau.88.s053.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5005223/13114.mousseau.88.s053.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/003/ERR5005223.bam
ERR5003196	SAMEA7724200	ERX4812479	PRJEB42019	410658	soil metagenome	ILLUMINA	13114.myrold.5.s006	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/006/ERR5003196/ERR5003196_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/006/ERR5003196/ERR5003196_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5003196/13114.myrold.5.s006.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5003196/13114.myrold.5.s006.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/006/ERR5003196.bam
ERR5005224	SAMEA7723644	ERX4814507	PRJEB42019	749906	gut metagenome	ILLUMINA	13114.mousseau.88.s054	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/004/ERR5005224/ERR5005224_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/004/ERR5005224/ERR5005224_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5005224/13114.mousseau.88.s054.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5005224/13114.mousseau.88.s054.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/004/ERR5005224.bam
ERR5003197	SAMEA7724201	ERX4812480	PRJEB42019	410658	soil metagenome	ILLUMINA	13114.myrold.5.s007	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/007/ERR5003197/ERR5003197_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/007/ERR5003197/ERR5003197_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5003197/13114.myrold.5.s007.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5003197/13114.myrold.5.s007.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/007/ERR5003197.bam
ERR5005225	SAMEA7723645	ERX4814508	PRJEB42019	749906	gut metagenome	ILLUMINA	13114.mousseau.88.s055	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/005/ERR5005225/ERR5005225_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/005/ERR5005225/ERR5005225_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5005225/13114.mousseau.88.s055.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5005225/13114.mousseau.88.s055.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/005/ERR5005225.bam
