File_ID	reads_length	Name	Rank	Lineage	Taxid	sample_name	empo_1	empo_2	empo_3	empo_4	highest_taxa	genus	isyeast	subphylum
ERR5003932	23761762	Bathycoccus prasinos	species	phylum-Chlorophyta|class-Mamiellophyceae|order-Mamiellales|family-Bathycoccaceae|genus-Bathycoccus|species-Bathycoccus_prasinos	41875	13114.palenik.42.s018	Free-living	Saline	Water (saline)	Water (saline)				NA
ERR5003932	23761762	Micromonas bravo	species	phylum-Chlorophyta|class-Mamiellophyceae|order-Mamiellales|family-Mamiellaceae|genus-Micromonas|species-Micromonas_bravo	296588	13114.palenik.42.s018	Free-living	Saline	Water (saline)	Water (saline)				NA
ERR5003932	23761762	Stramenopiles sp. TOSAG23-3	species	species-Stramenopiles_sp._TOSAG23-3	1735745	13114.palenik.42.s018	Free-living	Saline	Water (saline)	Water (saline)				NA
ERR5003932	23761762	Triparma laevis	species	class-Bolidophyceae|order-Parmales|family-Triparmaceae|genus-Triparma|species-Triparma_laevis	1534972	13114.palenik.42.s018	Free-living	Saline	Water (saline)	Water (saline)				NA
ERR5003991	98200	Phoma herbarum	species	phylum-Ascomycota|class-Dothideomycetes|order-Pleosporales|family-Didymellaceae|genus-Phoma|species-Phoma_herbarum	73001	13114.rohwer.85.s025	Free-living	Saline	Sediment (saline)	Sediment (saline)				NA
ERR5004977	16130162	Hyaloscypha bicolor E	species	phylum-Ascomycota|class-Leotiomycetes|order-Helotiales|family-Hyaloscyphaceae|genus-Hyaloscypha|species-Hyaloscypha_bicolor	1095630	13114.stegen.38.s018	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)	Ascomycota	Hyaloscypha	N	Pezizomycotina
ERR5004977	16130162	Cenococcum geophilum 1.58	species	phylum-Ascomycota|class-Dothideomycetes|family-Gloniaceae|genus-Cenococcum|species-Cenococcum_geophilum	794803	13114.stegen.38.s018	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)	Ascomycota	Cenococcum	N	Pezizomycotina
ERR5004977	16130162	Phialocephala subalpina	species	phylum-Ascomycota|class-Leotiomycetes|order-Helotiales|genus-Phialocephala|species-Phialocephala_subalpina	576137	13114.stegen.38.s018	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)	Ascomycota	Phialocephala	N	Pezizomycotina
ERR5004979	7376572	Micromonas bravo	species	phylum-Chlorophyta|class-Mamiellophyceae|order-Mamiellales|family-Mamiellaceae|genus-Micromonas|species-Micromonas_bravo	296588	13114.stewart.26.s002	Free-living	Saline	Water (saline)	Water (saline)				NA
ERR5004979	7376572	Ostreococcus lucimarinus CCE9901	species	phylum-Chlorophyta|class-Mamiellophyceae|order-Mamiellales|family-Bathycoccaceae|genus-Ostreococcus|species-Ostreococcus_sp._'lucimarinus'	436017	13114.stewart.26.s002	Free-living	Saline	Water (saline)	Water (saline)				NA
ERR5004979	7376572	Bathycoccus prasinos	species	phylum-Chlorophyta|class-Mamiellophyceae|order-Mamiellales|family-Bathycoccaceae|genus-Bathycoccus|species-Bathycoccus_prasinos	41875	13114.stewart.26.s002	Free-living	Saline	Water (saline)	Water (saline)				NA
ERR5004979	7376572	Malassezia restricta	species	phylum-Basidiomycota|class-Malasseziomycetes|order-Malasseziales|family-Malasseziaceae|genus-Malassezia|species-Malassezia_restricta	76775	13114.stewart.26.s002	Free-living	Saline	Water (saline)	Water (saline)				NA
ERR5004852	24011706	Lasiodiplodia theobromae	species	phylum-Ascomycota|class-Dothideomycetes|order-Botryosphaeriales|family-Botryosphaeriaceae|genus-Lasiodiplodia|species-Lasiodiplodia_theobromae	45133	13114.seedorf.71.s004	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)	Ascomycota	Lasiodiplodia	N	Pezizomycotina
ERR5004852	24011706	Purpureocillium lilacinum	species	phylum-Ascomycota|class-Sordariomycetes|order-Hypocreales|family-Ophiocordycipitaceae|genus-Purpureocillium|species-Purpureocillium_lilacinum	33203	13114.seedorf.71.s004	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)				NA
