sample	abundance	category	empo_1	empo_2	empo_3	empo_4
13114.pinto.63.s015	11292318.0	Plant corpus	Host-associated	Plant	Plant corpus	Plant corpus (non-saline)
13114.pinto.63.s016	18831068.0	Plant corpus	Host-associated	Plant	Plant corpus	Plant corpus (non-saline)
13114.rohwer.84.s007	7543.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
13114.rohwer.85.s023	7641.0	Sediment (saline)	Free-living	Saline	Sediment (saline)	Sediment (saline)
13114.rohwer.85.s025	32781.0	Sediment (saline)	Free-living	Saline	Sediment (saline)	Sediment (saline)
13114.roy.chowdhury.45.s005	6.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (saline)
13114.roy.chowdhury.45.s006	2479.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (saline)
13114.roy.chowdhury.45.s009	850.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (saline)
13114.roy.chowdhury.45.s011	1.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (saline)
13114.roy.chowdhury.45.s020	3802.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (saline)
13114.sandin.54.s002	4.0	Animal proximal gut	Host-associated	Animal	Animal proximal gut	Animal proximal gut (saline)
13114.sandin.54.s010	9829.0	Animal proximal gut	Host-associated	Animal	Animal proximal gut	Animal proximal gut (saline)
13114.sandin.54.s014	17932.0	Animal proximal gut	Host-associated	Animal	Animal proximal gut	Animal proximal gut (saline)
13114.schmidt.56.s005	2.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
13114.schmidt.56.s010	2.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
13114.schmidt.56.s019	1.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
13114.seedorf.71.s007	4171.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
13114.shade.23.s001	921.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
13114.smith.39.s002	2617.0	Plant surface	Host-associated	Plant	Plant surface	Plant surface (saline)
13114.smith.39.s004	61.0	Plant surface	Host-associated	Plant	Plant surface	Plant surface (saline)
13114.smith.39.s008	884.0	Plant surface	Host-associated	Plant	Plant surface	Plant surface (saline)
13114.song.52.s005	27019.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.stegen.36.s005	37.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
13114.stegen.36.s008	4372.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
13114.stegen.38.s008	1994.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
13114.stegen.38.s010	6339.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
13114.stewart.26.s001	3974.0	Water (saline)	Free-living	Saline	Water (saline)	Water (saline)
13114.tait.78.s001	5576.0	Sediment (saline)	Free-living	Saline	Sediment (saline)	Sediment (saline)
13114.thomas.18.s003	9177.0	Animal corpus	Host-associated	Animal	Animal corpus	Animal corpus (saline)
13114.thomas.18.s009	7763.0	Animal corpus	Host-associated	Animal	Animal corpus	Animal corpus (saline)
13114.thomas.18.s015	2229.0	Animal corpus	Host-associated	Animal	Animal corpus	Animal corpus (saline)
13114.thomas.18.s019	1992.0	Animal corpus	Host-associated	Animal	Animal corpus	Animal corpus (saline)
13114.thomas.18.s026	9065.0	Animal corpus	Host-associated	Animal	Animal corpus	Animal corpus (saline)
13114.thomas.18.s033	6024.0	Animal corpus	Host-associated	Animal	Animal corpus	Animal corpus (saline)
13114.thomas.18.s034	6.0	Animal corpus	Host-associated	Animal	Animal corpus	Animal corpus (saline)
13114.thomas.18.s043	7.0	Animal corpus	Host-associated	Animal	Animal corpus	Animal corpus (saline)
13114.thomas.18.s046	7.0	Animal corpus	Host-associated	Animal	Animal corpus	Animal corpus (saline)
13114.thomas.18.s048	1646.0	Animal corpus	Host-associated	Animal	Animal corpus	Animal corpus (saline)
13114.thomas.18.s050	27399.0	Animal corpus	Host-associated	Animal	Animal corpus	Animal corpus (saline)
13114.thomas.18.s051	18704.0	Animal corpus	Host-associated	Animal	Animal corpus	Animal corpus (saline)
13114.thomas.18.s054	7184.0	Animal corpus	Host-associated	Animal	Animal corpus	Animal corpus (saline)
13114.thomas.19.s051	2086.0	Plant surface	Host-associated	Plant	Plant surface	Plant surface (saline)
13114.thomas.19.s052	4213.0	Plant surface	Host-associated	Plant	Plant surface	Plant surface (saline)
13114.thomas.19.s053	4905.0	Plant surface	Host-associated	Plant	Plant surface	Plant surface (saline)
13114.thomas.19.s057	2687.0	Plant surface	Host-associated	Plant	Plant surface	Plant surface (saline)
13114.thomas.19.s061	1099.0	Plant surface	Host-associated	Plant	Plant surface	Plant surface (saline)
13114.thomas.19.s063	1578.0	Plant surface	Host-associated	Plant	Plant surface	Plant surface (saline)
13114.tucker.58.s002	23.0	Subsurface (non-saline)	Free-living	Non-saline	Subsurface (non-saline)	Subsurface (non-saline)
13114.tucker.58.s010	633.0	Subsurface (non-saline)	Free-living	Non-saline	Subsurface (non-saline)	Subsurface (non-saline)
13114.uren.82.s011	4304.0	Fungus corpus	Host-associated	Fungus	Fungus corpus	Fungus corpus (non-saline)
13114.zaneveld.9.s009	23530.0	Animal secretion	Host-associated	Animal	Animal secretion	Animal secretion (saline)
13114.berry.2.s005	1746.0	Sediment (non-saline)	Free-living	Non-saline	Sediment (non-saline)	Sediment (non-saline)
13114.berry.2.s010	830.0	Sediment (non-saline)	Free-living	Non-saline	Sediment (non-saline)	Sediment (non-saline)
13114.bittleston.68.s013	190.0	Plant surface	Host-associated	Plant	Plant surface	Plant surface (non-saline)
13114.bowen.74.s001	7730.0	Sediment (saline)	Free-living	Saline	Sediment (saline)	Sediment (saline)
13114.bowen.74.s002	7913.0	Sediment (saline)	Free-living	Saline	Sediment (saline)	Sediment (saline)
13114.bowen.74.s003	8490.0	Sediment (saline)	Free-living	Saline	Sediment (saline)	Sediment (saline)
13114.bowen.74.s005	3944.0	Sediment (saline)	Free-living	Saline	Sediment (saline)	Sediment (saline)
13114.bowen.74.s009	6420.0	Sediment (saline)	Free-living	Saline	Sediment (saline)	Sediment (saline)
13114.bowen.74.s012	7551.0	Sediment (saline)	Free-living	Saline	Sediment (saline)	Sediment (saline)
13114.bowen.74.s014	4901.0	Sediment (saline)	Free-living	Saline	Sediment (saline)	Sediment (saline)
13114.bowen.74.s016	3775.0	Sediment (saline)	Free-living	Saline	Sediment (saline)	Sediment (saline)
13114.distel.72.s008	14413.0	Animal proximal gut	Host-associated	Animal	Animal proximal gut	Animal proximal gut (saline)
13114.distel.72.s009	4113.0	Animal proximal gut	Host-associated	Animal	Animal proximal gut	Animal proximal gut (saline)
13114.distel.72.s012	4119.0	Animal proximal gut	Host-associated	Animal	Animal proximal gut	Animal proximal gut (saline)
13114.distel.72.s014	52.0	Surface (saline)	Free-living	Saline	Surface (saline)	Surface (saline)
13114.girguis.50.s010	9343.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (saline)
13114.girguis.50.s011	9524.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (saline)
13114.jensen.43.s013	1533.0	Sediment (saline)	Free-living	Saline	Sediment (saline)	Sediment (saline)
13114.jensen.43.s018	948.0	Sediment (saline)	Free-living	Saline	Sediment (saline)	Sediment (saline)
13114.king.27.s002	12.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
13114.king.27.s006	5.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
13114.king.27.s007	2595.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
13114.macrae.crerar.3.s007	50.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
13114.makhalanyane.46.s006	5.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
13114.makhalanyane.46.s007	294.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
13114.makhalanyane.46.s008	2.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
13114.makhalanyane.47.s007	36.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
13114.makhalanyane.47.s009	2.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
13114.mayer.33.s003	4340.0	Sediment (non-saline)	Free-living	Non-saline	Sediment (non-saline)	Sediment (non-saline)
13114.mayer.34.s005	8528.0	Sediment (non-saline)	Free-living	Non-saline	Sediment (non-saline)	Sediment (non-saline)
13114.mousseau.88.s003	6124.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.mousseau.88.s006	2610.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.mousseau.88.s012	275.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.mousseau.88.s023	14088.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.mousseau.88.s041	9612.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.mousseau.88.s044	3207.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.mousseau.88.s068	3832.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.mousseau.88.s081	15188.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.mousseau.88.s090	4145.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.mousseau.88.s092	4247.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.mousseau.88.s102	1270.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.mousseau.88.s103	1583.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.mousseau.88.s106	3477.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.myrold.59.s007	5481.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
13114.myrold.59.s008	3666.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
13114.myrold.59.s014	148.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
13114.myrold.59.s015	7900.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
13114.myrold.59.s016	252.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
13114.palenik.42.s004	291.0	Water (saline)	Free-living	Saline	Water (saline)	Water (saline)
13114.palenik.42.s005	12728.0	Water (saline)	Free-living	Saline	Water (saline)	Water (saline)
13114.palenik.42.s006	22924.0	Water (saline)	Free-living	Saline	Water (saline)	Water (saline)
13114.palenik.42.s008	26482.0	Water (saline)	Free-living	Saline	Water (saline)	Water (saline)
13114.palenik.42.s010	18186.0	Water (saline)	Free-living	Saline	Water (saline)	Water (saline)
13114.palenik.42.s011	23084.0	Water (saline)	Free-living	Saline	Water (saline)	Water (saline)
13114.palenik.42.s020	19512.0	Water (saline)	Free-living	Saline	Water (saline)	Water (saline)
13114.pinto.63.s002	4178588.0	Plant corpus	Host-associated	Plant	Plant corpus	Plant corpus (non-saline)
13114.pinto.63.s005	7735246.0	Plant corpus	Host-associated	Plant	Plant corpus	Plant corpus (non-saline)
13114.pinto.63.s007	18079501.0	Plant corpus	Host-associated	Plant	Plant corpus	Plant corpus (non-saline)
13114.pinto.63.s008	330450.0	Plant corpus	Host-associated	Plant	Plant corpus	Plant corpus (non-saline)
13114.pinto.63.s020	46648.0	Plant corpus	Host-associated	Plant	Plant corpus	Plant corpus (non-saline)
13114.pinto.63.s023	62120.0	Plant corpus	Host-associated	Plant	Plant corpus	Plant corpus (non-saline)
13114.pinto.63.s027	110022.0	Plant corpus	Host-associated	Plant	Plant corpus	Plant corpus (non-saline)
13114.rohwer.84.s008	6802.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
13114.rohwer.85.s012	71143.0	Sediment (saline)	Free-living	Saline	Sediment (saline)	Sediment (saline)
13114.rohwer.85.s013	675.0	Sediment (saline)	Free-living	Saline	Sediment (saline)	Sediment (saline)
13114.rohwer.85.s014	3609.0	Sediment (saline)	Free-living	Saline	Sediment (saline)	Sediment (saline)
13114.rohwer.85.s015	80.0	Sediment (saline)	Free-living	Saline	Sediment (saline)	Sediment (saline)
13114.rohwer.85.s017	140.0	Sediment (saline)	Free-living	Saline	Sediment (saline)	Sediment (saline)
13114.rohwer.85.s018	548.0	Sediment (saline)	Free-living	Saline	Sediment (saline)	Sediment (saline)
13114.rohwer.86.s002	11833.0	Sediment (saline)	Free-living	Saline	Sediment (saline)	Sediment (saline)
13114.roy.chowdhury.45.s004	11868.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (saline)
13114.roy.chowdhury.45.s012	53.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (saline)
13114.roy.chowdhury.45.s022	49.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (saline)
13114.roy.chowdhury.45.s023	579.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (saline)
13114.sandin.54.s003	170.0	Animal proximal gut	Host-associated	Animal	Animal proximal gut	Animal proximal gut (saline)
13114.schmidt.56.s001	5.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
13114.schmidt.56.s006	30.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
13114.schmidt.56.s007	1002.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
13114.schmidt.56.s013	3.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
13114.schmidt.56.s017	2325.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
13114.schmidt.56.s018	3.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
13114.schmidt.56.s021	4.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
13114.schmidt.56.s025	1557.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
13114.seedorf.71.s002	4181.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
13114.seedorf.71.s004	14043.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
13114.seedorf.71.s005	1.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
13114.seedorf.71.s012	7293.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
13114.seedorf.71.s013	2591.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
13114.shade.23.s004	34077.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
13114.shade.23.s005	599.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
13114.shade.23.s010	13133.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
