sample	abundance	category	empo_1	empo_2	empo_3	empo_4
13114.uren.82.s007	6233.0	Fungus corpus	Host-associated	Fungus	Fungus corpus	Fungus corpus (non-saline)
13114.zaneveld.9.s002	7009.0	Animal secretion	Host-associated	Animal	Animal secretion	Animal secretion (saline)
13114.zaneveld.9.s018	8304.0	Animal secretion	Host-associated	Animal	Animal secretion	Animal secretion (saline)
13114.girguis.50.s006	1663.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (saline)
13114.girguis.50.s007	5464.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (saline)
13114.girguis.50.s012	22748.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (saline)
13114.mousseau.88.s004	2.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.mousseau.88.s010	5447.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.mousseau.88.s015	311.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.mousseau.88.s024	4714.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.mousseau.88.s031	1412.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.mousseau.88.s037	7841.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.mousseau.88.s040	5506.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.mousseau.88.s042	3418.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.mousseau.88.s051	1729.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.mousseau.88.s064	4895.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.mousseau.88.s071	438.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.mousseau.88.s072	385.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.mousseau.88.s075	2028.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.mousseau.88.s076	5231.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.mousseau.88.s077	4.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.mousseau.88.s080	5218.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.mousseau.88.s082	255.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.mousseau.88.s083	4348.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.mousseau.88.s089	8880.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.mousseau.88.s091	6872.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.mousseau.88.s093	3899.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.mousseau.88.s108	6577.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.mousseau.88.s109	5792.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.mousseau.88.s110	2217.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.song.51.s001	12.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.song.51.s003	26491.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.song.51.s006	16397.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.song.51.s016	32316.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.song.51.s017	4245.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.song.52.s004	5384.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
